id,web_name,first_name,second_name,team,team_code,element_type,position,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,form,points_per_game,selected_by_percent,status,tackles,recoveries,clearances_blocks_interceptions,defensive_contribution
134,Oriola,Nehemiah,Oriola,Brighton,36,3,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.3,a,0,0,0,0
135,Yohanna,Zadok,Yohanna,Brighton,36,3,MID,49,1,12,0,0,0,0,0,0,0,0,0,0,0,3,0.2,1.3,0.0,0.2,0,0.00,0.03,0.03,0.00,0.3,1.0,0.1,a,0,0,0,0
137,Tzimas,Stefanos,Tzimas,Brighton,36,4,FWD,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,i,0,0,0,0
138,Kostoulas,Charalampos,Kostoulas,Brighton,36,4,FWD,55,8,195,0,1,0,5,0,0,0,0,0,0,0,25,14.6,20.8,51.0,8.5,2,0.78,0.04,0.82,5.48,2.7,2.7,0.5,a,2,11,3,16
139,Ferguson,Evan,Ferguson,Brighton,36,4,FWD,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,i,0,0,0,0
328,Struijk,Pascal,Struijk,Brighton,36,2,DEF,50,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,0,0.00,0.00,0.00,0.00,0.3,1.0,0.2,a,0,0,0,0
504,Vuskovic,Luka,Vušković,Brighton,36,2,DEF,50,18,270,1,0,1,5,0,0,0,0,0,0,2,44,91.4,14.6,57.0,16.3,3,0.35,0.06,0.41,5.71,6.0,6.0,2.8,a,3,9,19,22
594,David,Promise,David,Brighton,36,4,FWD,60,1,23,0,0,0,0,0,0,0,1,0,0,0,-4,0.0,3.7,4.0,0.4,0,0.42,0.00,0.42,0.14,0.3,0.5,0.2,a,0,0,0,0
600,Osman,Ibrahim,Osman,Brighton,36,3,MID,50,2,28,0,0,0,1,0,0,0,0,0,0,0,13,7.2,16.7,6.0,3.0,0,0.00,0.06,0.06,0.10,0.7,1.0,0.0,a,1,2,0,3
605,Yalcouyé,Malick,Yalcouyé,Brighton,36,3,MID,45,11,167,1,0,0,4,0,0,0,0,0,0,1,58,59.6,47.2,62.0,16.9,2,0.75,0.26,1.01,5.32,3.7,3.7,2.7,a,3,5,4,12
614,Hadjam,Jaouen,Hadjam,Brighton,36,2,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,a,0,0,0,0
624,Cozier-Duberry,Amario,Cozier-Duberry,Brighton,36,3,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
